Extra options: []
Measured: 10 times

Total Average: 53.324500 msec
Total Max:     61.776000 msec
Total Min:     47.970000 msec

  AVERAGE       MAX       MIN
------------------------------
48.258500 56.785000 42.914000: /Users/usr0200777/.config/nvim/init.lua
32.124200 33.853000 31.050000: require('config.lazy')
16.115300 24.140000 11.435000: require('config.options')
 2.590350  6.241000  0.083000: require('lspconfig.util')
 1.452000  1.680000  1.280000: /Users/usr0200777/.local/share/nvim/lazy/gruvbox.nvim/colors/gruvbox.lua
 1.169800  1.352000  1.008000: require('vim.lsp')
 1.149000  1.403000  0.924000: /Users/usr0200777/.local/share/nvim/lazy/diffview.nvim/plugin/diffview.lua
 1.126000  1.422000  0.891000: /Users/usr0200777/.local/share/nvim/lazy/rest.nvim/plugin/rest-nvim.lua
 1.098500  1.359000  0.858000: require('diffview.bootstrap')
 1.009300  1.254000  0.855000: expanding arguments
 0.996900  1.221000  0.741000: /Users/usr0200777/.local/share/nvim/lazy/rest.nvim/ftdetect/http.lua
 0.952900  1.314000  0.676000: require('mason')
 0.951500  1.183000  0.709000: require('vim.filetype')
 0.947100  1.036000  0.923000: reading ShaDa
 0.866700  1.159000  0.770000: BufEnter autocommands
 0.761900  1.206000  0.573000: require('lsp-file-operations')
 0.654300  0.944000  0.405000: require('hardtime')
 0.577900  0.823000  0.367000: require('diffview.logger')
 0.572000  0.924000  0.445000: require('lualine')
 0.567300  0.626000  0.481000: require('lazy.view.commands')
 0.562800  0.755000  0.415000: require('vim.treesitter')
 0.547100  1.016000  0.361000: require('lsp-file-operations.log')
 0.500600  0.610000  0.462000: /Users/usr0200777/nvim-macos-arm64/share/nvim/runtime/plugin/matchit.vim
 0.485700  0.532000  0.409000: require('lazy.manage')
 0.463100  0.914000  0.268000: require('plenary.log')
 0.455800  0.662000  0.358000: require('vim.treesitter.languagetree')
 0.446700  0.504000  0.420000: /Users/usr0200777/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
 0.443700  0.484000  0.410000: require('vim._defaults')
 0.439100  0.578000  0.336000: require('mason-core.platform')
 0.419600  0.643000  0.280000: require('mason-registry')
 0.390700  0.455000  0.309000: require('lazy.manage.runner')
 0.381800  0.555000  0.227000: require('vim.lsp.protocol')
 0.373300  0.504000  0.256000: require('lspconfig.configs.jdtls')
 0.373100  0.499000  0.326000: require('lazy.core.loader')
